isolate_id	taxnode_id	species_sort	isolate_sort	species_name	isolate_type	isolate_names	_isolate_name	isolate_abbrevs	isolate_designation	genbank_accessions	refseq_accessions	genome_coverage	molecule	host_source	refseq_organism	refseq_taxids	update_change	update_prev_species	update_prev_taxnode_id	update_change_proposal	notes
1000011	202311720	11	1	Azorudivirus furnasense	E	Stygiolobus rod-shaped virus	Stygiolobus rod-shaped virus	SRV	NULL	FM164764	NC_025375	Coding-complete genome	dsDNA	archaea	NULL	537009	renamed	Azorudivirus SRV	202211720	2023.001A.Archaeal_binomials.zip	NULL
1000012	202311716	14	1	Hoswirudivirus pozzuoliense	E	Acidianus rod-shaped virus 2	Acidianus rod-shaped virus 2	ARV2	NULL	KP282675	NC_029314	Coding-complete genome	dsDNA	archaea	NULL	1732175	renamed	Hoswirudivirus ARV2	202211716	2023.001A.Archaeal_binomials.zip	NULL
1000013	202311717	12	1	Hoswirudivirus acidiani	E	Acidianus rod-shaped virus 3	Acidianus rod-shaped virus 3	ARV3	NULL	MN876842	NC_074632	Coding-complete genome	dsDNA	archaea	NULL	NULL	renamed	Hoswirudivirus ARV3	202211717	2023.001A.Archaeal_binomials.zip	NULL
1000014	202311718	13	1	Hoswirudivirus metallosphaerae	E	Metallosphaera rod-shaped virus 1	Metallosphaera rod-shaped virus 1	MRV1	NULL	MN876843	NC_074633	Coding-complete genome	dsDNA	archaea	NULL	NULL	renamed	Hoswirudivirus MRV1	202211718	2023.001A.Archaeal_binomials.zip	NULL
1000015	202311719	15	1	Hoswirudivirus saccharolobi	E	Saccharolobus solfataricus rod-shaped virus 1	Saccharolobus solfataricus rod-shaped virus 1	SSRV1	NULL	MN876841	NC_074634	Coding-complete genome	dsDNA	archaea	NULL	NULL	renamed	Hoswirudivirus SSRV1	202211719	2023.001A.Archaeal_binomials.zip	NULL
1000016	202301546	18	1	Icerudivirus kverkfjoellense	E	Sulfolobus islandicus rod-shaped virus 1	Sulfolobus islandicus rod-shaped virus 1	SIRV1	NULL	AJ414696	NC_004087	Complete genome	dsDNA	archaea	NULL	157898	renamed	Icerudivirus SIRV1	202201546	2023.001A.Archaeal_binomials.zip	NULL
1000017	202301547	17	1	Icerudivirus hveragerdiense	E	Sulfolobus islandicus rod-shaped virus 2	Sulfolobus islandicus rod-shaped virus 2	SIRV2	NULL	AJ344259	NC_004086	Complete genome	dsDNA	archaea	NULL	157899	renamed	Icerudivirus SIRV2	202201547	2023.001A.Archaeal_binomials.zip	NULL
1000018	202311709	16	1	Icerudivirus gunnuhverense	E	Sulfolobus islandicus rod-shaped virus 3	Sulfolobus islandicus rod-shaped virus 3	SIRV3	NULL	KX712143	NC_030884	Coding-complete genome	dsDNA	archaea	NULL	1895333	renamed	Icerudivirus SIRV3	202211709	2023.001A.Archaeal_binomials.zip	NULL
1000019	202301545	19	1	Itarudivirus pozzuoliense	E	Acidianus rod-shaped virus 1	Acidianus rod-shaped virus 1	ARV1	NULL	AJ875026	NC_009965	Coding-complete genome	dsDNA	archaea	NULL	309181	renamed	Itarudivirus ARV1	202201545	2023.001A.Archaeal_binomials.zip	NULL
1000020	202311721	20	1	Japarudivirus beppuense	E	Sulfolobales Beppu rod-shaped virus 1	Sulfolobales Beppu rod-shaped virus 1	SBRV1	NULL	MK064565	NC_074635	Coding-complete genome	dsDNA	archaea	NULL	NULL	renamed	Japarudivirus SBRV1	202211721	2023.001A.Archaeal_binomials.zip	NULL
1000021	202311722	21	1	Mexirudivirus azufresense	E	Sulfolobales Mexican rod-shaped virus 1	Sulfolobales Mexican rod-shaped virus 1	SMRV1	NULL	JX944686	NC_019413	Coding-complete genome	dsDNA	archaea	NULL	1245909	renamed	Mexirudivirus SMRV1	202211722	2023.001A.Archaeal_binomials.zip	NULL
1000022	202311714	22	1	Usarudivirus acidum	E	Sulfolobus islandicus rod-shaped virus 10	Sulfolobus islandicus rod-shaped virus 10	SIRV10	NULL	KY744230	NC_034625	Coding-complete genome	dsDNA	archaea	NULL	1983545	renamed	Usarudivirus SIRV10	202211714	2023.001A.Archaeal_binomials.zip	NULL
1000023	202311715	25	1	Usarudivirus dryadis	E	Sulfolobus islandicus rod-shaped virus 11	Sulfolobus islandicus rod-shaped virus 11	SIRV11	NULL	KY744234	NC_034624	Coding-complete genome	dsDNA	archaea	NULL	1983546	renamed	Usarudivirus SIRV11	202211715	2023.001A.Archaeal_binomials.zip	NULL
1000024	202311710	27	1	Usarudivirus yellowstonense	E	Sulfolobus islandicus rod-shaped virus 4	Sulfolobus islandicus rod-shaped virus 4	SIRV4	NULL	KY744231	NC_034628	Coding-complete genome	dsDNA	archaea	NULL	1983547	renamed	Usarudivirus SIRV4	202211710	2023.001A.Archaeal_binomials.zip	NULL
1000025	202311711	26	1	Usarudivirus nymphense	E	Sulfolobus islandicus rod-shaped virus 5	Sulfolobus islandicus rod-shaped virus 5	SIRV5	NULL	KY744233	NC_034621	Coding-complete genome	dsDNA	archaea	NULL	1983548	renamed	Usarudivirus SIRV5	202211711	2023.001A.Archaeal_binomials.zip	NULL
1000026	202311712	24	1	Usarudivirus caloris	E	Sulfolobus islandicus rod-shaped virus 8	Sulfolobus islandicus rod-shaped virus 8	SIRV8	NULL	KY744229	NC_034623	Coding-complete genome	dsDNA	archaea	NULL	1983551	renamed	Usarudivirus SIRV8	202211712	2023.001A.Archaeal_binomials.zip	NULL
1000027	202311713	23	1	Usarudivirus aestus	E	Sulfolobus islandicus rod-shaped virus 9	Sulfolobus islandicus rod-shaped virus 9	SIRV9	NULL	KY744228	NC_034620	Coding-complete genome	dsDNA	archaea	NULL	1983552	renamed	Usarudivirus SIRV9	202211713	2023.001A.Archaeal_binomials.zip	NULL
1000028	202301541	28	1	Captovirus yellowstonense	E	Acidianus filamentous virus 1	Acidianus filamentous virus 1	AFV1	NULL	AJ567472	NC_005830	Complete genome	dsDNA	archaea	NULL	235266	renamed	Captovirus AFV1	202201541	2023.001A.Archaeal_binomials.zip	NULL
1000029	202314297	29	1	Yumkaaxvirus pescaderoense	E	Methanophagales virus PBV300	Methanophagales virus PBV300	PBV300	NULL	OP413840	NC_074636	Complete genome	dsDNA	archaea	NULL	NULL	same	Yumkaaxvirus pescaderoense	202214297	NULL	NULL
1000030	202305323	30	1	Alphatristromavirus pozzuoliense	E	Pyrobaculum filamentous virus 1	Pyrobaculum filamentous virus 1	PFV1	NULL	KU307456	NC_029548	Complete genome	dsDNA	archaea	NULL	1805492	renamed	Alphatristromavirus PFV1	202205323	2023.001A.Archaeal_binomials.zip	NULL
1000031	202312054	31	1	Alphatristromavirus puteoliense	E	Pyrobaculum filamentous virus 2	Pyrobaculum filamentous virus 2	PFV2	NULL	MN876844	NC_074637	Complete genome	dsDNA	archaea	NULL	NULL	renamed	Alphatristromavirus PFV2	202212054	2023.001A.Archaeal_binomials.zip	NULL
1000032	202305324	32	1	Betatristromavirus kraflaense	E	Thermoproteus tenax virus 1	Thermoproteus tenax virus 1	TTV1	KRA1	X14855	NC_038931	Partial genome	dsDNA	archaea	NULL	10479	renamed	Betatristromavirus TTV1	202205324	2023.001A.Archaeal_binomials.zip	NULL
1000033	202301396	33	1	Batravirus ranidallo1	E	Lucké tumor herpesvirus; ranid herpesvirus 1	Lucké tumor herpesvirus	LTHV; RaHV1	McKinnell	DQ665917	NC_008211	Complete genome	dsDNA	vertebrates	NULL	85655	same	Batravirus ranidallo1	202201396	NULL	NULL
1000034	202301397	34	1	Batravirus ranidallo2	E	frog virus 4; ranid herpesvirus 2	frog virus 4	FV4; RaHV2	Rafferty	DQ665652	NC_008210	Complete genome	dsDNA	vertebrates	NULL	389214	same	Batravirus ranidallo2	202201397	NULL	NULL
1000035	202305570	35	1	Batravirus ranidallo3	E	ranid herpesvirus 3	ranid herpesvirus 3	RaHV3	FO1_2015	KX832224	NC_034618	Complete genome	dsDNA	vertebrates	NULL	1987509	same	Batravirus ranidallo3	202205570	NULL	NULL
1000036	202301399	36	1	Cyvirus anguillidallo1	E	Japanese eel herpesvirus; anguillid herpesvirus 1	Japanese eel herpesvirus	AngHV1	500138	FJ940765	NC_013668	Complete genome	dsDNA	vertebrates	NULL	150286	same	Cyvirus anguillidallo1	202201399	NULL	NULL
1000037	202301400	37	1	Cyvirus cyprinidallo1	E	carp pox herpesvirus; cyprinid herpesvirus 1	carp pox herpesvirus	CyHV1	NG-J1	JQ815363	NC_019491	Complete genome	dsDNA	vertebrates	NULL	317858	same	Cyvirus cyprinidallo1	202201400	NULL	NULL
1000038	202301401	38	1	Cyvirus cyprinidallo2	E	goldfish hematopoietic necrosis virus; cyprinid herpesvirus 2	goldfish hematopoietic necrosis virus	CyHV2	ST-J1	JQ815364	NC_019495	Complete genome	dsDNA	vertebrates	NULL	317878	same	Cyvirus cyprinidallo2	202201401	NULL	NULL
1000039	202301402	39	1	Cyvirus cyprinidallo3	E	koi herpesvirus; cyprinid herpesvirus 3	koi herpesvirus	KHV; CyHV3	KHV-U	DQ657948	NC_009127	Complete genome	dsDNA	vertebrates	NULL	180230	same	Cyvirus cyprinidallo3	202201402	NULL	NULL
1000040	202301404	40	1	Ictavirus acipenseridallo2	E	white sturgeon herpesvirus 2; acipenserid herpesvirus 2	white sturgeon herpesvirus 2	AciHV2	SRWSHV	FJ815289	NC_043042	Partial genome	dsDNA	vertebrates	NULL	320884	same	Ictavirus acipenseridallo2	202201404	NULL	NULL
1000041	202301405	41	1	Ictavirus ictaluridallo1	E	channel catfish virus; ictalurid herpesvirus 1	channel catfish virus	CCV; IcHV1	Auburn 1	M75136	NC_001493	Complete genome	dsDNA	vertebrates	NULL	10401	same	Ictavirus ictaluridallo1	202201405	NULL	NULL
1000042	202301406	42	1	Ictavirus ictaluridallo2	E	black bullhead herpesvirus; ictalurid herpesvirus 2	black bullhead herpesvirus	IcHV2	760/94	MG271984	NC_036579	Complete genome	dsDNA	vertebrates	NULL	508441	same	Ictavirus ictaluridallo2	202201406	NULL	NULL
1000043	202301408	43	1	Salmovirus salmonidallo1	E	herpesvirus salmonis; salmonid herpesvirus 1	herpesvirus salmonis	SalHV1	Winthrop	AF023673	NC_043043	Partial genome	dsDNA	vertebrates	NULL	67604	same	Salmovirus salmonidallo1	202201408	NULL	NULL
1000044	202301409	44	1	Salmovirus salmonidallo2	E	Oncorhyncus masou herpesvirus; salmonid herpesvirus 2	Oncorhyncus masou herpesvirus	SalHV2	NeVTA	EU349274	NC_075802	Partial genome	dsDNA	vertebrates	NULL	NULL	same	Salmovirus salmonidallo2	202201409	NULL	NULL
1000045	202301410	45	1	Salmovirus salmonidallo3	E	epizootic epitheliotropic disease virus; salmonid herpesvirus 3	epizootic epitheliotropic disease virus	SalHV3	Wisconsin epidemic	EU349277	NC_043468	Partial genome	dsDNA	vertebrates	NULL	508442	same	Salmovirus salmonidallo3	202201410	NULL	NULL
1000046	202301525	46	1	Aurivirus haliotidmalaco1	E	abalone herpesvirus; haliotid herpesvirus 1	abalone herpesvirus	AbHV1; HaHV1	Victoria/AUS/2009	JX453331	NC_018874	Complete genome	dsDNA	invertebrates	NULL	1241371	same	Aurivirus haliotidmalaco1	202201525	NULL	NULL
1000047	202301527	47	1	Ostreavirus ostreidmalaco1	E	oyster herpesvirus; ostreid herpesvirus 1	oyster herpesvirus	OHV; OsHV1	NULL	AY509253	NC_005881	Complete genome	dsDNA	invertebrates	NULL	261939	same	Ostreavirus ostreidmalaco1	202201527	NULL	NULL
1000048	202314013	48	1	Iltovirus cacatuidalpha2	E	cacatuid alphaherpesvirus 2	cacatuid alphaherpesvirus 2	CcAHV2	CaHV2/Melbourne/2015	MK360902	NC_076966	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Iltovirus cacatuidalpha2	202214013	NULL	NULL
1000049	202301414	49	1	Iltovirus gallidalpha1	E	gallid alphaherpesvirus 1; infectious laryngotracheitis virus	gallid alphaherpesvirus 1	GaAHV1; ILTV	SA2	JN596962	NC_075683	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Iltovirus gallidalpha1	202201414	NULL	NULL
1000050	202301415	50	1	Iltovirus psittacidalpha1	E	psittacid alphaherpesvirus 1; Pacheco's disease virus	psittacid alphaherpesvirus 1	PsAHV1; PDV	97-0001	AY372243	NC_005264	Complete genome	dsDNA	vertebrates	NULL	50294	same	Iltovirus psittacidalpha1	202201415	NULL	NULL
1000051	202314014	51	1	Iltovirus psittacidalpha5	E	psittacid alphaherpesvirus 5	psittacid alphaherpesvirus 5	PsAHV5	16-4047	MK955929	NC_077028	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Iltovirus psittacidalpha5	202214014	NULL	NULL
1000052	202301417	52	1	Mardivirus anatidalpha1	E	anatid alphaherpesvirus 1; duck enteritis virus	anatid alphaherpesvirus 1	AnAHV1; DEV	2085	JF999965	NC_075687	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Mardivirus anatidalpha1	202201417	NULL	NULL
1000053	202301418	53	1	Mardivirus columbidalpha1	E	columbid alphaherpesvirus 1; pigeon herpesvirus	columbid alphaherpesvirus 1	CoAHV1; PHV	HLJ	KX589235	NC_034266	Complete genome	dsDNA	vertebrates	NULL	93386	same	Mardivirus columbidalpha1	202201418	NULL	NULL
1000054	202301419	54	1	Mardivirus gallidalpha2	E	gallid alphaherpesvirus 2; Marek's disease virus	gallid alphaherpesvirus 2	GaAHV2; MDV	Md5	AF243438	NC_002229	Complete genome	dsDNA	vertebrates	NULL	10390	same	Mardivirus gallidalpha2	202201419	NULL	NULL
1000055	202301420	55	1	Mardivirus gallidalpha3	E	gallid alphaherpesvirus 3; gallid herpesvirus 3	gallid alphaherpesvirus 3	GaAHV3	SB-1	HQ840738	NC_075702	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Mardivirus gallidalpha3	202201420	NULL	NULL
1000056	202301421	56	1	Mardivirus meleagridalpha1	E	meleagrid alphaherpesvirus 1; turkey herpesvirus	meleagrid alphaherpesvirus 1	MeAHV1; HVT	FC-126 (Burmenester)	AF291866	NC_002641	Complete genome	dsDNA	vertebrates	NULL	37108	same	Mardivirus meleagridalpha1	202201421	NULL	NULL
1000057	202306397	57	1	Mardivirus spheniscidalpha1	E	spheniscid alphaherpesvirus 1	spheniscid alphaherpesvirus 1	SpAHV1	lib01004	LT608135	NC_033464	Complete genome	dsDNA	vertebrates	NULL	2560777	same	Mardivirus spheniscidalpha1	202206397	NULL	NULL
1000058	202301423	58	1	Scutavirus chelonidalpha5	E	chelonid alphaherpesvirus 5; fibropapilloma-associated turtle herpesvirus	chelonid alphaherpesvirus 5	ChAHV5; FPTHV	CH-651-60O9	HQ878327	NC_075701	Partial genome	dsDNA	vertebrates	NULL	NULL	same	Scutavirus chelonidalpha5	202201423	NULL	NULL
1000059	202306398	59	1	Scutavirus testudinidalpha3	E	testudinid alphaherpesvirus 3; testudinid herpesvirus 3	testudinid alphaherpesvirus 3	TeAHV3; TeHV3	1976	KM924292	NC_027916	Complete genome	dsDNA	vertebrates	NULL	2560801	same	Scutavirus testudinidalpha3	202206398	NULL	NULL
1000060	202301425	60	1	Simplexvirus atelinealpha1	E	ateline alphaherpesvirus 1; herpesvirus ateles 1	ateline alphaherpesvirus 1	AtAHV1; HVA1	Lennette	KY385637	NC_034446	Complete genome	dsDNA	vertebrates	NULL	35243	same	Simplexvirus atelinealpha1	202201425	NULL	NULL
1000061	202301426	61	1	Simplexvirus bovinealpha2	E	bovine alphaherpesvirus 2; bovine mammillitis virus	bovine alphaherpesvirus 2	BoAHV2; BMV	C1Z FZR	MT862163	NC_076512	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Simplexvirus bovinealpha2	202201426	NULL	NULL
1000062	202301427	62	1	Simplexvirus cercopithecinealpha2	E	cercopithecine alphaherpesvirus 2; simian agent 8	cercopithecine alphaherpesvirus 2	CeAHV2; SA8	B264	AY714813	NC_006560	Complete genome	dsDNA	vertebrates	NULL	10317	same	Simplexvirus cercopithecinealpha2	202201427	NULL	NULL
1000063	202301428	63	1	Simplexvirus humanalpha1	E	human alphaherpesvirus 1; herpes simplex virus 1	human alphaherpesvirus 1	HuAHV1; HSV1	17	JN555585	NC_001806	Complete genome	dsDNA	vertebrates	NULL	10298	same	Simplexvirus humanalpha1	202201428	NULL	NULL
1000064	202301429	64	1	Simplexvirus humanalpha2	E	human alphaherpesvirus 2; herpes simplex virus 2	human alphaherpesvirus 2	HuAHV2; HSV2	HG52	JN561323	NC_001798	Complete genome	dsDNA	vertebrates	NULL	10310	same	Simplexvirus humanalpha2	202201429	NULL	NULL
1000065	202301430	65	1	Simplexvirus leporidalpha4	E	leporid alphaherpesvirus 4; leporid herpesvirus 4	leporid alphaherpesvirus 4	LeAHV4; LHV4	LHV4012612	JQ596859	NC_029311	Complete genome	dsDNA	vertebrates	NULL	481315	same	Simplexvirus leporidalpha4	202201430	NULL	NULL
1000066	202301431	66	1	Simplexvirus macacinealpha1	E	macacine alphaherpesvirus 1; B-virus	macacine alphaherpesvirus 1	McAHV1; BV	E2490	AF533768	NC_004812	Complete genome	dsDNA	vertebrates	NULL	10325	same	Simplexvirus macacinealpha1	202201431	NULL	NULL
1000067	202308779	67	1	Simplexvirus macacinealpha2	E	macacine alphaherpesvirus 2; lion-tailed macaque herpesvirus 1	macacine alphaherpesvirus 2	McAHV2	8100812	KY628968	NC_076164	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Simplexvirus macacinealpha2	202208779	NULL	NULL
1000068	202308780	68	1	Simplexvirus macacinealpha3	E	macacine alphaherpesvirus 3; pig-tailed macaque herpesvirus 1	macacine alphaherpesvirus 3	McAHV3	KQ	KY628970	NC_076165	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Simplexvirus macacinealpha3	202208780	NULL	NULL
1000069	202301432	69	1	Simplexvirus macropodidalpha1	E	macropodid alphaherpesvirus 1; Parma wallaby herpesvirus	macropodid alphaherpesvirus 1	MaAHV1	MaHV1.3076/08	KT594769	NC_029132	Complete genome	dsDNA	vertebrates	NULL	137443	same	Simplexvirus macropodidalpha1	202201432	NULL	NULL
1000070	202301433	70	1	Simplexvirus macropodidalpha2	E	macropodid alphaherpesvirus 2; Dorcopsis wallaby herpesvirus	macropodid alphaherpesvirus 2	MaAHV2	V3077/08	MT900475	NC_076513	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Simplexvirus macropodidalpha2	202201433	NULL	NULL
1000071	202314015	71	1	Simplexvirus macropodidalpha4	E	macropodid alphaherpesvirus 4	macropodid alphaherpesvirus 4	MaAHV4	V3116/09	MT900474	NC_076968	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Simplexvirus macropodidalpha4	202214015	NULL	NULL
1000072	202301434	72	1	Simplexvirus paninealpha3	E	panine alphaherpesvirus 3; chimpanzee herpesvirus	panine alphaherpesvirus 3	PnAHV3; ChHV	105640	JQ360576	NC_023677	Complete genome	dsDNA	vertebrates	NULL	332937	same	Simplexvirus paninealpha3	202201434	NULL	NULL
1000073	202301435	73	1	Simplexvirus papiinealpha2	E	papiine alphaherpesvirus 2; herpesvirus papio 2	papiine alphaherpesvirus 2	PaAHV2; HPV2	X313	DQ149153	NC_007653	Complete genome	dsDNA	vertebrates	NULL	340907	same	Simplexvirus papiinealpha2	202201435	NULL	NULL
1000074	202306395	74	1	Simplexvirus pteropodidalpha1	E	pteropodid alphaherpesvirus 1; fruit bat alphaherpesvirus 1	pteropodid alphaherpesvirus 1	PtHAV1; FBAHV1	NULL	AB825953	NC_024306	Complete genome	dsDNA	vertebrates	NULL	1343901	same	Simplexvirus pteropodidalpha1	202206395	NULL	NULL
1000075	202314016	75	1	Simplexvirus pteropodidalpha2	E	pteropodid alphaherpesvirus 2; Pteropus lylei-associated alphaherpesvirus	pteropodid alphaherpesvirus 2	PtAHV2; PLAHV	NULL	LC492974	NC_076965	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Simplexvirus pteropodidalpha2	202214016	NULL	NULL
1000076	202301436	76	1	Simplexvirus saimiriinealpha1	E	saimiriine alphaherpesvirus 1; herpesvirus saimiri 1	saimiriine alphaherpesvirus 1	SaAHV1; HVS1	MV 5-4	HM625781	NC_014567	Complete genome	dsDNA	vertebrates	NULL	10353	same	Simplexvirus saimiriinealpha1	202201436	NULL	NULL
1000077	202301440	77	1	Varicellovirus bovinealpha1	E	bovine alphaherpesvirus 1; infectious bovine rhinotracheitis virus	bovine alphaherpesvirus 1	BoAHV1; IBRV	Cooper/NVSL challenge 97-11	JX898220	NC_063268	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Varicellovirus bovinealpha1	202201440	NULL	NULL
1000078	202301441	78	1	Varicellovirus bovinealpha5	E	bovine alphaherpesvirus 5; bovine encephalitis herpesvirus	bovine alphaherpesvirus 5	BoAHV5	SV507/99	AY261359	NC_005261	Complete genome	dsDNA	vertebrates	NULL	35244	same	Varicellovirus bovinealpha5	202201441	NULL	NULL
1000079	202301442	79	1	Varicellovirus bubalinealpha1	E	bubaline alphaherpesvirus 1; water buffalo herpesvirus	bubaline alphaherpesvirus 1	BuAHV1	b6	KU936049	NC_043054	Complete genome	dsDNA	vertebrates	NULL	202910	same	Varicellovirus bubalinealpha1	202201442	NULL	NULL
1000080	202301443	80	1	Varicellovirus canidalpha1	E	canid alphaherpesvirus 1; canine herpesvirus	canid alphaherpesvirus 1	CaAHV1; CHV	194	KT819633	NC_030117	Complete genome	dsDNA	vertebrates	NULL	170325	same	Varicellovirus canidalpha1	202201443	NULL	NULL
1000081	202301444	81	1	Varicellovirus caprinealpha1	E	caprine alphaherpesvirus 1; goat herpesvirus	caprine alphaherpesvirus 1	CpAHV1	E/CH	MG989243	NC_076509	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Varicellovirus caprinealpha1	202201444	NULL	NULL
1000082	202301445	82	1	Varicellovirus cercopithecinealpha9	E	cercopithecine alphaherpesvirus 9; simian varicella virus	cercopithecine alphaherpesvirus 9	CeAHV9; SVV	Delta	AF275348	NC_002686	Complete genome	dsDNA	vertebrates	NULL	35246	same	Varicellovirus cercopithecinealpha9	202201445	NULL	NULL
1000083	202301446	83	1	Varicellovirus cervidalpha1	E	cervid alphaherpesvirus 1; red deer herpesvirus	cervid alphaherpesvirus 1	CvAHV1	Anlier	MH036942	NC_075564	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Varicellovirus cervidalpha1	202201446	NULL	NULL
1000084	202301447	84	1	Varicellovirus cervidalpha2	E	cervid alphaherpesvirus 2; reindeer herpesvirus	cervid alphaherpesvirus 2	CvAHV2	Norway	MH036943	NC_075563	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Varicellovirus cervidalpha2	202201447	NULL	NULL
1000085	202309143	85	1	Varicellovirus cervidalpha3	E	cervid alphaherpesvirus 3; elk herpesvirus	cervid alphaherpesvirus 3	CvAHV3	Canada	MH036941	NC_055561	Partial genome	dsDNA	vertebrates	NULL	2115790	same	Varicellovirus cervidalpha3	202209143	NULL	NULL
1000086	202301448	86	1	Varicellovirus equidalpha1	E	equid alphaherpesvirus 1; equine abortion virus	equid alphaherpesvirus 1	EqAHV1; EAV	Ab4	AY665713	NC_001491	Complete genome	dsDNA	vertebrates	NULL	10326	same	Varicellovirus equidalpha1	202201448	NULL	NULL
1000087	202301449	87	1	Varicellovirus equidalpha3	E	equid alphaherpesvirus 3; equine coital exanthema virus	equid alphaherpesvirus 3	EqAHV3	AR/2007/C3A	KM051845	NC_024771	Complete genome	dsDNA	vertebrates	NULL	80341	same	Varicellovirus equidalpha3	202201449	NULL	NULL
1000088	202301450	88	1	Varicellovirus equidalpha4	E	equid alphaherpesvirus 4; equine rhinopneumonitis virus	equid alphaherpesvirus 4	EqAHV4	NS80567	AF030027	NC_001844	Complete genome	dsDNA	vertebrates	NULL	10331	same	Varicellovirus equidalpha4	202201450	NULL	NULL
1000089	202314017	89	1	Varicellovirus equidalpha6	E	equid alphaherpesvirus 6; asinine herpesvirus 1	equid alphaherpesvirus 6	EqAHV6; AsHV1	AsHV/Bari/2011/740	MT012704	NC_076964	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Varicellovirus equidalpha6	202214017	NULL	NULL
1000090	202301451	90	1	Varicellovirus equidalpha8	E	equid alphaherpesvirus 8; asinine herpesvirus 3	equid alphaherpesvirus 8	EqAHV8	EHV-8/IR/2003/19	MF431611	NC_075566	Complete genome	dsDNA	vertebrates	NULL	NULL	same	Varicellovirus equidalpha8	202201451	NULL	NULL
