taxon	sub_taxon	molecule	envelope	morphology	virion_size	genome_segments	genome_configuration	genome_size	host
Iflaviridae		ssRNA(+)	-	icosahedral	22-30	1	linear	9-11	I
Inoviridae		ssDNA(+)	-	filamentous; rod-shaped	7-15x200-3500	1	circular	4.5-10.6	B
Iridoviridae		dsDNA	+/-	icosahedral; spherical	120-350	1	linear	103-220	V; I
Kitaviridae		ssRNA(+)	-	bacilliform	35-55x100-130	2-4	linear	13.7-15.1	P
Lavidaviridae		dsDNA	-	icosahedral	60-75	1	circular	17-40	Pr
Leishbuviridae		ssRNA(-)	unknown	unknown	unknown	3	linear	7.8	Pr
Leviviridae		ssRNA(+)	-	icosahedral	26	1	linear	3.4-4.3	B
Lipothrixviridae		dsDNA	+	filamentous	24-38x410-2200	1	linear	21-41	Ar
Lispiviridae		ssRNA(-)	unknown	unknown	unknown	1	linear	9.9-14.4	I
Luteoviridae		ssRNA(+)	-	icosahedral	25-30	1	linear	5-6.2	P
Malacoherpesviridae		dsDNA	+	icosahedral	150-300	1	linear	207-212	I
Marnaviridae		ssRNA(+)	-	icosahedral	25	1	linear	6.4-9.5	Al
Marseilleviridae		dsDNA	-	icosahedral	190-250	1	circular	347-380	Pr
Matonaviridae		ssRNA(+)	+	spherical	50-90	1	linear	9.8	V; H
Medioniviridae		ssRNA(+)	unknown	unknown	unknown	1	linear	20.3	I
Megabirnaviridae		dsRNA	+	icosahedral	52	2	linear	16-17	F
Mesoniviridae		ssRNA(+)	+	spherical	60-120	1	linear	20-21	I
Metaviridae		ssRNA-RT(+)	+/-	ovoid (ntracellular virus-like particles)	unknown	1	linear	7-7.5	F; I; P; V
Microviridae		ssDNA(+)	-	icosahedral	25-27 	1	circular	3-8	B
Mimiviridae		dsDNA	-	pseudo-icosahedral	750	1	linear	617-1400	Pr
Mononiviridae		ssRNA(+)	+	spherical; pleomorphic	90-150	1	linear	41	I
Mymonaviridae		ssRNA(-)	+	filamentous	25-50x1000	1	linear	9.7-11.5	F
Myoviridae		dsDNA	-	icosahedral head with tail	60-145 (head); 80x110 (elongated head),tail:16-20x80-455	1	linear	20-550	Ar; B
Mypoviridae		ssRNA(-)	unknown	unknown	unknown	3	linear	16	I
Nairoviridae		ssRNA(-)	+	spherical	80-120	3	linear	17.4-20.2	V; I; P; H
Nanoviridae		ssDNA(+)	-	icosahedral	17-20	6-8	circular	6.4-8	P
Narnaviridae		ssRNA(+)	N/A	intracellular ribonucleoprotein complexes	N/A	1	linear	2-4.6	F
Nimaviridae		dsDNA	+	ellipsoid; bacilliform 	70–170x210–420 	1	circular	280-309	I
Nodaviridae		ssRNA(+)	-	icosahedral	25-33	2	linear	4.3-6.4	V; I
Nudiviridae		dsDNA	+	rod-shaped	75-120x180-445	1	circular	97-232	I
Nyamiviridae		ssRNA(-)	+	spherical	100-130	1-2	linear	9.4-11.8	V; I
Orthomyxoviridae		ssRNA(-)	+	spherical; filamentous; pleomorphic	80-120	6-8	linear	10.5-14.5	V; I; H
Ovaliviridae		dsDNA	+	ellipsoid	78-115	1	linear	23	Ar
Papanivirus		ssRNA(+)	-	icosahedral	16	1	linear	0.8	P
Papillomaviridae		dsDNA	-	icosahedral	55	1	circular	5.7-8.8	V; H
Paramyxoviridae		ssRNA(-)	+	spherical; filamentous; pleomorphic	100-540	1	linear	14.8-20	V; H
Partitiviridae		dsRNA	-	icosahedral	25-43	2-5	linear	3.1-14.7	F; P; Pr
Parvoviridae		ssDNA(+/-)	-	icosahedral	23-28	1	linear	3.2-6.3	V; I; H
Peribunyaviridae		ssRNA(-); ssRNA(+/-)	+	spherical	80-120	3	linear	12.3-18.3	V; I; P; H
Permutotetraviridae		ssRNA(+)	-	icosahedral	40	1	linear	5.7	I
Phasmaviridae		ssRNA(-)	unknown	unknown	unknown	3-4	linear	9.7-15.5	I
Phenuiviridae		ssRNA(-); ssRNA(+/-)	+	spherical; pleomorphic	80-130	3-6	linear	10.7-25	V; I; P; H
Phycodnaviridae		dsDNA	-	icosahedral	100-220	1	linear; circular	154-407	Al
Picobirnaviridae		dsRNA	-	icosahedral	33-37	2	linear	3.3-4.4	V; I; H
Picornaviridae		ssRNA(+)	-	icosahedral	30-32	1	linear	6.5-10.1	V; H
Plasmaviridae		dsDNA	+	quasi-spherical; pleomorphic	50-125	1	circular	12	B
Pleolipoviridae		dsDNA; ssDNA	+	pleomorphic	40-70	1	linear; circular	7.0-16.2	Ar
Pneumoviridae		ssRNA(-)	+	spherical; filamentous	80-600 (spherical); 2x70-190 (filamentous)	1	linear	13.1-17	V; H
Podoviridae		dsDNA	-	icosahedral head with tail	60-70 (head); 44x145 (head),8x10-46 (tail)	1	linear	17-104	B
Polycipiviridae		ssRNA(+)	-	icosahedral	33	1	linear	11-12	I
Polydnaviridae		dsDNA	+	prolate ellipsoid	34-40x8-150; 85x330	6-105	circular	185-600	I
Polyomaviridae		dsDNA	-	icosahedral	40-45	1	circular	4.6-7.0	V; H
Portogloboviridae		dsDNA	+	spherical	85	1	circular	20	Ar
Pospiviroidae		ssRNA	-	unencapsidated; rod-like	N/A	1	circular (noncovalently closed)	0.2-0.475	P
Potyviridae		ssRNA(+)	-	filamentous	11-20x250-950	1-2	linear	8-11	P
Poxviridae		dsDNA	+	brick-shaped	140-260x220-450	1	linear	128-360	V; I; H
Pseudoviridae		ssRNA-RT(+)	-	spherical; icosahedral	30-40	1	linear	5-9	Al; F; I; P; Pr
Qinviridae		ssRNA(-)	unknown	unknown	unknown	2	linear	7.4-8.2	I
Quadriviridae		dsRNA	-	icosahedral	45	4	linear	16.8–17.1 	F
Reoviridae		dsRNA	-	icosahedral (turreted, non-turreted)	60-85	9-16	linear	19-33	F; I; P; Pr; V; H
Retroviridae		ssRNA-RT(+)	+	spherical	80-100	1	linear	5.9-13.4	V; H
Rhabdoviridae		ssRNA(-)	+/-	bullet-shaped; bacilliform; filamentous	45-100x100-430	1-2	linear	10.7-16.1	V; I; P; H
Rhizidiovirus		dsDNA	-	icosahedral	60	1	linear	unknown	Pr
Roniviridae		ssRNA(+)	+	bacilliform	40-60x150-200	1	linear	26-27	I
Rudiviridae		dsDNA	-	rod-shaped	23x600-900	1	linear	25-35	Ar
Salterprovirus		dsDNA	-	spindle-shaped	44x77	1	linear	14.5	Ar
Sarthroviridae		ssRNA(+)	-	icosahedral	15	1	linear	0.8-0.9	I
Secoviridae		ssRNA(+)	-	icosahedral	25-30	1-2	linear	9-13.7	P
Sinaivirus		ssRNA(+)	-	icosahedral	28	1	linear	6	I
Siphoviridae		dsDNA	-	icosahedral head with tail	40-80 (head); 5-10x65-570 (tail)	1	linear	15-280	Ar; B
Smacoviridae		ssDNA(+/-)	unknown	unknown	unknown	1	circular	2.3-3.0	V; I; H
Solemoviridae		ssRNA(+)	-	icosahedral	25-34	1	linear	4-6	P
Solinviviridae		ssRNA(+)	-	icosahedral	26-30	1	linear	10.4-11	I
Sphaerolipoviridae		dsDNA	-	icosahedral	50-80	1	linear; circular	16-31	Ar; B
Spiraviridae		ssDNA(+)	-	coil-shaped	28x220	1	circular	25	Ar
Sunviridae		ssRNA(-)	unknown	unknown	unknown	1	linear	17	V
Tectiviridae		dsDNA	-	icosahedral	66	1	linear	14.3-18.2	B
Tobaniviridae		ssRNA(+)	+	spherical; bacilliform	120-160 (spherical); 55-90x120-200 (bacilliform)	1	linear	20.3-33.6	V; H
Togaviridae		ssRNA(+)	+	spherical	65-70	1	linear	11.2-12.5	V; I; H
Tolecusatellitidae		ssDNA	-	N/A	N/A	1	linear	0.66-1.44	P
Tombusviridae		ssRNA(+)	-	icosahedral	28-35	1-2	linear	3.6-5.3	P
Tospoviridae		ssRNA(-); ssRNA(+/-)	+	spherical	80-120	3	linear	16.1-17.3	P
Totiviridae		dsRNA	-	icosahedral	33-40	1	linear	4.6-8.2	F; I; Pr
Tristromaviridae		dsDNA	+	filamentous	30x400	1	linear	17.8	Ar
Turriviridae		dsDNA	-	icosahedral (turreted,)	70-74	1	linear	16.6-17.7	Ar
Tymoviridae		ssRNA(+)	-	icosahedral	30	1	linear	6-7.6	I; P
Virgaviridae		ssRNA(+)	-	rod-shaped	18-21x50-310	1-3	linear	6.3-13	P
Virtovirus		ssRNA(+)	-	icosahedral	16-17	1	linear	1.2	P
Wupedeviridae		ssRNA(-)	unknown	unknown	unknown	3	linear	20.5	I
Xinmoviridae		ssRNA(-)	unknown	unknown	unknown	1	linear	12.8-13.6	I
Yueviridae		ssRNA(-)	unknown	unknown	unknown	2	linear	7.8-8.2	I
